ID,No.,Rarity,Name,Size,Level,Total Exp,Current Exp,Required Exp,Link,Development,Analysis,Max HP,HP,Skill1,Skill2,Skill3,Skill4,Chip1 ID,Chip1,Chip2 ID,Chip2,Affection,Oathed,Oathed Datetime,Locked
526481,1005,★★★,Destroyer,,90,2040826,73526,39474,x1,★★★★★,,1200,1200,10,10,5,5,0,,0,,55,,,Locked
526484,2002,★★,Dragoon,L,1,0,0,100,x5,★★,◆◆◆◆,573,573,0,0,1,0,0,,0,,50,,,Locked
533717,2005,★★,Tarantula,L,1,0,0,100,x5,★★,◆◆◆◆,167,167,0,0,1,0,0,,0,,99,,,Locked
553069,3005,★,Striker,L,1,0,0,100,x5,★,◆◆◆◆,325,325,0,0,0,0,0,,0,,50,,,Locked
561289,2008,★★,Guard_SWAP,XL,1,0,0,100,x5,★★,◆◆◆◆,638,638,0,0,1,0,0,,0,,50,,,Locked
694442,3009,★,Jaguar,L,1,0,0,100,x5,★,◆◆◆◆,236,236,0,0,0,0,0,,0,,50,,,Locked
709508,1006,★★★,Architect,,90,1986000,18700,94300,x1,★★★★★,,1200,1200,10,10,5,5,0,,0,,50,,,Locked
709518,2009,★★,Ripper SWAP,L,90,2046193,78893,34107,x5,★★★★★,◆◆◆◆,1037,1037,0,0,5,5,0,,0,,100,,,Locked
731474,3004,★,Jaeger,XL,91,2191642,111342,5058,x5,★★★★★,◆◆◆◆,572,572,0,0,0,5,0,,0,,100,,,Locked
800239,2010,★★,Vespid_SWAP,M,90,2043222,75922,37078,x5,★★★★★,◆◆◆◆,859,859,0,0,5,5,0,,0,,100,,,Locked
836804,3001,★,Ripper,M,1,0,0,100,x1,★,,81,81,0,0,0,0,0,,0,,50,,,Locked
841797,1007,★★★,Ouroboros,,90,1974000,6700,106300,x1,★★★★★,,1145,1145,10,10,3,3,0,,0,,50,,,Locked
878058,1008,★★★,Alchemist,,100,3255500,-,-,x1,★★★★★,◆,1085,1085,10,10,5,5,1004,Ample Fuel,1003,Phantom Stance,150,Oathed,2022-01-02 04:54,Locked
888132,2005,★★,Tarantula,XL,1,0,0,100,x5,★★,◆◆◆◆,168,168,0,0,1,0,0,,0,,98,,,Locked
907409,2004,★★,Nemeum,L,95,2637392,70792,59608,x5,★★★★★,◆◆◆◆,941,941,0,0,5,5,0,,0,,100,,,Locked
936007,2011,★★,Prowler_SWAP,M,1,0,0,100,x5,★★,◆◆◆◆,451,451,0,0,1,0,0,,0,,99,,,Locked
981948,3009,★,Jaguar,XL,1,0,0,100,x5,★,◆◆◆◆,237,237,0,0,0,0,0,,0,,50,,,Locked
1005703,2006,★★,Manticore,L,97,2848426,17426,120274,x1,★★★★★,◆◆◆◆,1570,1570,0,0,5,5,0,,0,,100,,,Locked
1027354,2012,★★,Dragoon_SWAP,M,90,1968000,700,112300,x5,★★★★★,◆◆◆◆,1201,1201,0,0,5,5,0,,0,,50,,,Locked
1084727,2009,★★,Ripper SWAP,XL,90,2017594,50294,62706,x5,★★★★★,◆◆◆◆,1050,1050,0,0,5,5,0,,0,,100,,,Locked
1084731,2008,★★,Guard_SWAP,L,1,0,0,100,x5,★★,◆◆◆◆,634,634,0,0,1,0,0,,0,,50,,,Locked
1084735,1009,★★★,Dreamer,,100,3255500,-,-,x1,★★★★★,,1091,1091,10,10,5,5,0,,0,,147,Oathed,2022-04-06 23:29,Locked
1207272,2006,★★,Manticore,M,100,3255500,-,-,x1,★★★★★,◆◆◆◆,1565,1565,0,0,5,4,0,,0,,100,,,Locked
1240814,3006,★,Dinergate,XS,1,0,0,100,x1,★,,31,31,0,0,0,0,0,,0,,86,,,Locked
1267791,3006,★,Dinergate,M,1,0,0,100,x5,★,◆◆◆◆,157,157,0,0,0,0,0,,0,,62,,,Locked
1316815,3010,★,Goliath Factory,XL,1,0,0,100,x1,★,◆◆◆◆,836,836,0,0,0,0,0,,0,,50,,,Locked
1328019,3006,★,Dinergate,M,1,0,0,100,x5,★,◆◆◆◆,157,157,0,0,0,0,0,,0,,50,,,Locked
1335540,2013,★★,Striker_SWAP,L,1,0,0,100,x5,★★,◆◆◆◆,432,432,0,0,1,0,0,,0,,50,,,Locked
1381158,3007,★,Scout,XL,1,0,0,100,x1,★,,63,63,0,0,0,0,0,,0,,50,,,Locked
1405759,3010,★,Goliath Factory,L,1,0,0,100,x1,★,◆◆◆◆,833,833,0,0,0,0,0,,0,,50,,,Locked
1422551,2010,★★,Vespid_SWAP,XL,1,0,0,100,x5,★★,◆◆◆◆,433,433,0,0,1,0,0,,0,,50,,,Locked
1422587,2004,★★,Nemeum,XL,1,0,0,100,x4,★★,◆◆◆,370,370,0,0,1,0,0,,0,,50,,,Locked
1423346,1011,★★★,Judge,,100,3255500,-,-,x1,★★★★★,,1326,1326,10,8,3,3,0,,0,,100,,,Locked
1481033,3006,★,Dinergate,XL,1,0,0,100,x5,★,◆◆◆◆,159,159,0,0,0,0,0,,0,,50,,,Locked
1568868,3006,★,Dinergate,L,1,0,0,100,x5,★,◆◆◆◆,158,158,0,0,0,0,0,,0,,50,,,Locked
1568875,2012,★★,Dragoon_SWAP,M,1,0,0,100,x4,★★,◆◆◆,469,469,0,0,1,0,0,,0,,50,,,Locked
1568906,2011,★★,Prowler_SWAP,L,1,0,0,100,x5,★★,◆◆◆◆,455,455,0,0,1,0,0,,0,,50,,,Locked
1568921,2014,★★,Aegis_SWAP,L,1,0,0,100,x3,★★,◆◆,475,475,0,0,1,0,0,,0,,50,,,Locked
1568923,2005,★★,Tarantula,M,1,0,0,100,x4,★★,◆◆◆,132,132,0,0,1,0,0,,0,,50,,,Locked
1568938,1012,★★★,Agent,,100,3255500,-,-,x1,★★★★★,,1320,1320,10,10,5,5,3003,Lone Wolf,1001,Night Vision,100,,,Locked
1598169,2006,★★,Manticore,M,90,1980946,13646,99354,x1,★★★★★,◆◆◆,1405,1405,0,0,1,1,0,,0,,100,,,Locked
1638550,1013,★★★,Adeline,,1,0,0,100,x1,★★★,,486,486,2,1,1,0,0,,0,,50,,,Locked
1662217,2001,★★,Brute,XL,1,0,0,100,x1,★★,,66,66,0,0,1,0,0,,0,,50,,,Locked
1686777,2014,★★,Aegis_SWAP,XL,90,1980946,13646,99354,x5,★★★★★,◆◆◆◆,1654,1654,0,0,4,2,0,,0,,100,,,Locked
1750236,3010,★,Goliath Factory,XL,1,0,0,100,x1,★,◆◆◆,786,786,0,0,0,0,0,,0,,50,,,Locked
1766951,3006,★,Dinergate,XL,1,0,0,100,x5,★,◆◆◆◆,159,159,0,0,0,0,0,,0,,50,,,Locked
1784790,2013,★★,Striker_SWAP,M,1,0,0,100,x1,★★,,86,86,0,0,1,0,0,,0,,50,,,
1803515,2013,★★,Striker_SWAP,L,1,0,0,100,x1,★★,,87,87,0,0,1,0,0,,0,,50,,,Locked
1816818,3009,★,Jaguar,M,1,0,0,100,x1,★,,47,47,0,0,0,0,0,,0,,50,,,
1816819,3008,★,Prowler,S,1,0,0,100,x1,★,,74,74,0,0,0,0,0,,0,,50,,,
1816820,3008,★,Prowler,M,1,0,0,100,x1,★,,74,74,0,0,0,0,0,,0,,50,,,
1816821,3001,★,Ripper,S,1,0,0,100,x1,★,,81,81,0,0,0,0,0,,0,,50,,,
1816822,2006,★★,Manticore,M,1,0,0,100,x1,★★,,512,512,0,0,1,0,0,,0,,50,,,
1816824,3009,★,Jaguar,M,1,0,0,100,x1,★,,47,47,0,0,0,0,0,,0,,50,,,
1816826,3004,★,Jaeger,M,1,0,0,100,x1,★,,53,53,0,0,0,0,0,,0,,50,,,
